location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,human_development_index
Albania,2021-02-18,96838,1112,1008.857,1617,17,14.286,33650.01,386.406,350.565,561.888,5.907,4.964,1.02,3935,406318,141.19,1.367,3363,1.169,tests performed,3049,2438,611,1348,254,0.11,0.08,0.02,88,60.19,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-11,131803,50,68,2420,4,2.571,45799.917,17.374,23.629,840.92,1.39,0.894,0.62,2956,643271,223.529,1.027,2752,0.956,tests performed,622507,440921,181586,9548,12160,21.63,15.32,6.31,4225,60.19,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-12,131845,42,60.857,2423,3,2.857,45814.511,14.594,21.147,841.963,1.042,0.993,0.61,2707,645978,224.469,0.941,2732,0.949,tests performed,632676,444755,187921,10169,10870,21.98,15.45,6.53,3777,60.19,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-13,131890,45,54.286,2426,3,2.857,45830.148,15.637,18.864,843.005,1.042,0.993,0.61,2596,648574,225.371,0.902,2700,0.938,tests performed,638338,445402,192936,5662,9445,22.18,15.48,6.7,3282,60.19,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-14,131939,49,51.714,2427,1,2.714,45847.175,17.027,17.97,843.353,0.347,0.943,0.6,2964,651538,226.401,1.03,2734,0.95,tests performed,653330,448571,204759,14992,9662,22.7,15.59,7.12,3357,60.19,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-18,132071,39,38.286,2436,1,2.286,45893.043,13.552,13.304,846.48,0.347,0.794,0.58,3169,662608,230.248,1.101,2762,0.96,tests performed,688947,460191,228756,8864,9491,23.94,15.99,7.95,3298,60.19,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-19,132095,24,35.714,2438,2,2.143,45901.383,8.34,12.41,847.175,0.695,0.745,0.57,3051,665659,231.308,1.06,2812,0.977,tests performed,697811,463402,234409,8864,9305,24.25,16.1,8.15,3233,60.19,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-20,132118,23,32.571,2440,2,2,45909.375,7.992,11.318,847.87,0.695,0.695,0.57,3093,668752,232.383,1.075,2883,1.002,tests performed,703743,466083,237660,5932,9344,24.45,16.2,8.26,3247,60.19,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-21,132153,35,30.571,2441,1,2,45921.537,12.162,10.623,848.217,0.347,0.695,0.58,3167,671919,233.484,1.1,2912,1.012,tests performed,708846,469169,239677,5103,7931,24.63,16.3,8.33,2756,46.3,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
Albania,2021-05-24,132215,6,26.143,2445,1,1.429,45943.082,2.085,9.084,849.607,0.347,0.496,0.56,2020,680313,236.4,0.702,2982,1.036,tests performed,725135,475237,249898,8519,6436,25.2,16.51,8.68,2236,46.3,2877800,104.871,38,11803.431,1.1,304.195,10.08,0.795
