location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
Denmark,2020-12-17,124366,4036,3334.143,992,17,10.571,21471.278,696.799,575.626,171.265,2.935,1.825,1.24,133887,9137275,1577.513,23.115,114623,19.789,tests performed,1,1,NA,NA,NA,0,0,NA,NA,51.85,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,NA
Denmark,2020-12-18,128874,4508,3538.714,1007,15,11.429,22249.565,778.288,610.944,173.854,2.59,1.973,1.2,130243,9267518,1599.999,22.486,118604,20.476,tests performed,2,2,NA,1,1,0,0,NA,0,51.85,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,NA
Liechtenstein,2021-01-04,2224,2,26.571,41,2,0.857,58316.071,52.443,696.736,1075.071,52.443,22.475,0.8,276,21412,561.45,7.237,143,3.75,tests performed,2,2,NA,2,0,0.01,0.01,NA,0,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-05,2246,22,25.286,45,4,1,58892.939,576.868,663.023,1179.956,104.885,26.221,0.78,173,21585,565.986,4.536,139,3.645,tests performed,2,2,NA,0,0,0.01,0.01,NA,0,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Denmark,2020-12-19,132164,3290,3500.571,1019,12,12,22817.57,568.005,604.359,175.926,2.072,2.072,1.15,115116,9382634,1619.873,19.874,122828,21.206,tests performed,3,3,NA,1,1,0,0,NA,0,51.85,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,NA
Denmark,2020-12-21,138204,3205,3508.857,1053,18,14.714,23860.352,553.33,605.79,181.796,3.108,2.54,1.06,168293,9671854,1669.806,29.055,134224,23.173,tests performed,4,4,NA,NA,1,0,0,NA,0,51.85,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,NA
Canada,2020-12-14,472820,8377,6606.857,13677,140,111.571,12527.636,221.953,175.052,362.38,3.709,2.956,1.04,131408,16008664,424.159,3.482,126618,3.355,tests performed,5,5,NA,NA,NA,0,0,NA,NA,70.83,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,82.43,0.929,NA
Denmark,2020-12-22,140750,2546,3444.857,1070,17,15.571,24299.908,439.556,594.74,184.731,2.935,2.688,1.02,163526,9835380,1698.038,28.232,138371,23.889,tests performed,5,5,NA,1,1,0,0,NA,0,51.85,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,NA
Liechtenstein,2021-01-06,2295,49,27.286,48,3,1.286,60177.78,1284.841,715.466,1258.62,78.664,33.713,0.77,76,21661,567.979,1.993,123,3.225,tests performed,5,5,NA,3,1,0.01,0.01,NA,26,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-07,2309,14,24.714,48,0,1.286,60544.878,367.098,648.04,1258.62,0,33.713,0.72,171,21832,572.462,4.484,128,3.356,tests performed,6,6,NA,1,1,0.02,0.02,NA,26,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-08,2311,2,19.429,48,0,1.286,60597.32,52.443,509.442,1258.62,0,33.713,0.69,118,21950,575.557,3.094,135,3.54,tests performed,6,6,NA,0,1,0.02,0.02,NA,26,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-09,2329,18,18.143,49,1,1.429,61069.303,471.983,475.728,1284.841,26.221,37.459,0.68,39,21989,576.579,1.023,130,3.409,tests performed,6,6,NA,0,1,0.02,0.02,NA,26,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-10,2340,11,16.857,49,0,1.429,61357.737,288.434,442.015,1284.841,0,37.459,0.66,51,22040,577.916,1.337,129,3.383,tests performed,6,6,NA,0,1,0.02,0.02,NA,26,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Liechtenstein,2021-01-11,2346,6,17.429,49,0,1.143,61515.064,157.328,456.999,1284.841,0,29.967,0.65,226,22266,583.842,5.926,122,3.199,tests performed,6,6,NA,0,1,0.02,0.02,NA,26,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA
Norway,2020-12-22,44932,596,440,405,0,1.429,8288.138,109.938,81.162,74.706,0,0.264,1.08,26569,2616591,482.655,4.901,22263,4.107,people tested,6,6,NA,6,1,0,0,NA,0,56.02,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,82.4,0.957,NA
Norway,2020-12-23,45455,523,449,421,16,2.714,8384.61,96.472,82.822,77.657,2.951,0.501,1.07,18386,2634977,486.047,3.391,21580,3.981,people tested,6,6,NA,0,1,0,0,NA,0,56.02,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,82.4,0.957,NA
Denmark,2020-12-23,144053,3303,3389,1096,26,17.286,24870.157,570.249,585.097,189.22,4.489,2.984,0.99,120590,9955970,1718.857,20.819,136083,23.494,tests performed,8,8,NA,3,1,0,0,NA,0,51.85,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,NA
