location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index
Africa,2021-01-13,3144246,33997,32391.286,75688,1220,832.429,2345.405,25.36,24.162,56.458,0.91,0.621,,,,,,,,no information,2000,2000,,,500,0,0,,0,,1340598113,,,,,,,,,,,,,
Africa,2021-01-15,3210049,31575,31523.857,77646,905,883.714,2394.49,23.553,23.515,57.919,0.675,0.659,,,,,,,,no information,4000,4000,,,667,0,0,,0,,1340598113,,,,,,,,,,,,,
Africa,2021-01-16,3237617,27568,30448,78309,663,884.571,2415.054,20.564,22.712,58.413,0.495,0.66,,,,,,,,no information,7000,7000,,3000,1000,0,0,,1,,1340598113,,,,,,,,,,,,,
Africa,2021-01-19,3310072,23410,28546.143,80834,1202,909.429,2469.101,17.462,21.294,60.297,0.897,0.678,,,,,,,,no information,10976,10976,,,1354,0,0,,1,,1340598113,,,,,,,,,,,,,
Africa,2021-01-20,3338409,28337,27737.571,81756,922,866.857,2490.238,21.138,20.69,60.985,0.688,0.647,,,,,,,,no information,13163,13163,,2187,1595,0,0,,1,,1340598113,,,,,,,,,,,,,
Africa,2021-01-22,3392453,26179,26057.714,83755,974,872.714,2530.552,19.528,19.437,62.476,0.727,0.651,,,,,,,,no information,16890,16890,,,1841,0,0,,1,,1340598113,,,,,,,,,,,,,
Africa,2021-01-23,3419761,27308,26020.571,84537,782,889.714,2550.922,20.37,19.41,63.059,0.583,0.664,,,,,,,,no information,18353,18353,,1463,1622,0,0,,1,,1340598113,,,,,,,,,,,,,
Africa,2021-01-24,3439881,20120,25099.286,85184,647,896.714,2565.93,15.008,18.722,63.542,0.483,0.669,,,,,,,,no information,18353,18353,,0,1433,0,0,,1,,1340598113,,,,,,,,,,,,,
Africa,2021-01-25,3456576,16695,24273.429,85955,771,903.286,2578.383,12.453,18.106,64.117,0.575,0.674,,,,,,,,no information,19889,19889,,1536,1463,0,0,,1,,1340598113,,,,,,,,,,,,,
Africa,2021-01-26,3475174,18598,23586,86938,983,872,2592.256,13.873,17.594,64.85,0.733,0.65,,,,,,,,no information,22712,22712,,2823,1677,0,0,,1,,1340598113,,,,,,,,,,,,,
Africa,2021-01-27,3496001,20827,22513.143,87989,1051,890.429,2607.792,15.536,16.793,65.634,0.784,0.664,,,,,,,,no information,25587,25587,,2875,1775,0,0,,1,,1340598113,,,,,,,,,,,,,
Africa,2021-01-28,3516781,20780,21501,88985,996,886.286,2623.293,15.501,16.038,66.377,0.743,0.661,,,,,,,,no information,28779,28779,,3192,1965,0,0,,1,,1340598113,,,,,,,,,,,,,
Africa,2021-01-29,3536003,19222,20507.143,89831,846,868,2637.631,14.338,15.297,67.008,0.631,0.647,,,,,,,,no information,30861,30861,,2082,1996,0,0,,1,,1340598113,,,,,,,,,,,,,
Africa,2021-01-30,3553865,17862,19157.714,90446,615,844.143,2650.955,13.324,14.29,67.467,0.459,0.63,,,,,,,,no information,122206,32206,,91345,14836,0.01,0,,11,,1340598113,,,,,,,,,,,,,
Africa,2021-01-31,3569617,15752,18533.714,90971,525,826.714,2662.705,11.75,13.825,67.859,0.392,0.617,,,,,,,,no information,158206,32206,,36000,19979,0.01,0,,15,,1340598113,,,,,,,,,,,,,
Africa,2021-02-01,3582328,12711,17964.571,91480,509,789.286,2672.186,9.482,13.4,68.238,0.38,0.589,,,,,,,,no information,236712,36631,,78506,30975,0.02,0,,23,,1340598113,,,,,,,,,,,,,
Africa,2021-02-02,3597149,14821,17425,92364,884,775.143,2683.242,11.056,12.998,68.898,0.659,0.578,,,,,,,,no information,295127,37836,,58415,38916,0.02,0,,29,,1340598113,,,,,,,,,,,,,
Africa,2021-02-03,3612611,15462,16658.571,93073,709,726.286,2694.776,11.534,12.426,69.426,0.529,0.542,,,,,,,,no information,347149,38746,5,52022,45937,0.03,0,0,34,,1340598113,,,,,,,,,,,,,
Africa,2021-02-04,3629085,16474,16043.429,93640,567,665,2707.064,12.289,11.967,69.849,0.423,0.496,,,,,,,,no information,390474,38746,5,43325,51671,0.03,0,0,39,,1340598113,,,,,,,,,,,,,
Africa,2021-02-05,3644992,15907,15569.857,94187,547,622.286,2718.93,11.866,11.614,70.257,0.408,0.464,,,,,,,,no information,446986,38746,5,56512,59446,0.03,0,0,44,,1340598113,,,,,,,,,,,,,
Africa,2021-02-06,3658537,13545,14953.143,94735,548,612.714,2729.033,10.104,11.154,70.666,0.409,0.457,,,,,,,,no information,504800,39248,1586,57814,54656,0.04,0,0,41,,1340598113,,,,,,,,,,,,,
Africa,2021-02-08,3681674,11413,14192.286,95535,443,579.286,2746.292,8.513,10.587,71.263,0.33,0.432,,,,,,,,no information,593502,39373,3980,,50970,0.04,0,0,38,,1340598113,,,,,,,,,,,,,
Africa,2021-02-09,3693025,11351,13696.571,96234,699,552.857,2754.759,8.467,10.217,71.784,0.521,0.412,,,,,,,,no information,661263,39382,6700,67761,52305,0.05,0,0,39,,1340598113,,,,,,,,,,,,,
Africa,2021-02-10,3706143,13118,13361.714,96770,536,528.143,2764.544,9.785,9.967,72.184,0.4,0.394,,,,,,,,no information,795836,39385,10335,134573,64098,0.06,0,0,48,,1340598113,,,,,,,,,,,,,
Africa,2021-02-11,3718013,11870,12704,97265,495,517.857,2773.399,8.854,9.476,72.553,0.369,0.386,,,,,,,,no information,908796,39611,13867,112960,74046,0.07,0,0,55,,1340598113,,,,,,,,,,,,,
Africa,2021-02-12,3731935,13922,12420.429,97830,565,520.429,2783.784,10.385,9.265,72.975,0.421,0.388,,,,,,,,no information,1165581,39611,13867,256785,102656,0.09,0,0,77,,1340598113,,,,,,,,,,,,,
Africa,2021-02-13,3742849,10914,12044.571,98182,352,492.429,2791.925,8.141,8.984,73.237,0.263,0.367,,,,,,,,no information,1446178,43458,14181,280597,134483,0.11,0,0,100,,1340598113,,,,,,,,,,,,,
Africa,2021-02-15,3763067,9893,11627.571,98946,471,487.286,2807.006,7.38,8.673,73.807,0.351,0.363,,,,,,,,no information,1766999,43467,16441,,167642,0.13,0,0,125,,1340598113,,,,,,,,,,,,,
Africa,2021-02-16,3773094,10027,11438.429,99412,466,454,2814.486,7.479,8.532,74.155,0.348,0.339,,,,,,,,no information,1965819,43474,18176,198820,186365,0.15,0,0,139,,1340598113,,,,,,,,,,,,,
Africa,2021-02-17,3785411,12317,11324,99814,402,434.857,2823.673,9.188,8.447,74.455,0.3,0.324,,,,,,,,no information,2147659,47134,19512,181840,193118,0.16,0,0,144,,1340598113,,,,,,,,,,,,,
Africa,2021-02-18,3799304,13893,11613,100325,511,437.143,2834.037,10.363,8.663,74.836,0.381,0.326,,,,,,,,no information,2303964,50176,22925,156305,199310,0.17,0,0,149,,1340598113,,,,,,,,,,,,,
Africa,2021-02-19,3810323,11019,11198.286,100709,384,411.286,2842.256,8.219,8.353,75.122,0.286,0.307,,,,,,,,no information,2513999,2487533,32990,210035,192631,0.19,0.19,0,144,,1340598113,,,,,,,,,,,,,
Africa,2021-02-20,3819882,9559,11004.714,100999,290,402.429,2849.386,7.13,8.209,75.339,0.216,0.3,,,,,,,,no information,2616931,2581856,45489,102932,167250,0.2,0.19,0,125,,1340598113,,,,,,,,,,,,,
Africa,2021-02-21,3829402,9520,10889.714,101336,337,408.714,2856.488,7.101,8.123,75.59,0.251,0.305,,,,,,,,no information,2622421,2587346,50463,5490,145119,0.2,0.19,0,108,,1340598113,,,,,,,,,,,,,
Africa,2021-02-22,3838419,9017,10764.571,101672,336,389.429,2863.214,6.726,8.03,75.841,0.251,0.29,,,,,,,,no information,2745898,2700632,68325,123477,139843,0.2,0.2,0.01,104,,1340598113,,,,,,,,,,,,,
Africa,2021-02-23,3846159,7740,10437.857,102142,470,390,2868.987,5.774,7.786,76.191,0.351,0.291,,,,,,,,no information,2854362,2799750,86927,108464,126935,0.21,0.21,0.01,95,,1340598113,,,,,,,,,,,,,
Africa,2021-02-24,3856688,10529,10182.429,102468,326,379.143,2876.841,7.854,7.595,76.435,0.243,0.283,,,,,,,,no information,3153546,3092856,102499,299184,143698,0.24,0.23,0.01,107,,1340598113,,,,,,,,,,,,,
Africa,2021-02-25,3868959,12271,9950.714,102825,357,357.143,2885.995,9.153,7.423,76.701,0.266,0.266,,,,,,,,no information,3434869,3367724,119792,281323,161558,0.26,0.25,0.01,121,,1340598113,,,,,,,,,,,,,
Africa,2021-02-26,3880062,11103,9962.714,103142,317,347.571,2894.277,8.282,7.432,76.937,0.236,0.259,,,,,,,,no information,3677524,3557568,183604,242655,166218,0.27,0.27,0.01,124,,1340598113,,,,,,,,,,,,,
Africa,2021-02-27,3887893,7831,9715.857,103481,339,354.571,2900.118,5.841,7.247,77.19,0.253,0.264,,,,,,,,no information,3866267,3680812,252758,188743,178477,0.29,0.27,0.02,133,,1340598113,,,,,,,,,,,,,
Africa,2021-02-28,3897307,9414,9700.714,103706,225,338.571,2907.14,7.022,7.236,77.358,0.168,0.253,,,,,,,,no information,3873994,3688539,255982,7727,178796,0.29,0.28,0.02,133,,1340598113,,,,,,,,,,,,,
Africa,2021-03-01,3906140,8833,9674.429,104021,315,335.571,2913.729,6.589,7.217,77.593,0.235,0.25,,,,,,,,no information,4091848,3834638,330257,217854,192279,0.31,0.29,0.02,143,,1340598113,,,,,,,,,,,,,
Africa,2021-03-02,3913848,7708,9669.857,104384,363,320.286,2919.479,5.75,7.213,77.864,0.271,0.239,,,,,,,,no information,4252773,3934686,394124,160925,199773,0.32,0.29,0.03,149,,1340598113,,,,,,,,,,,,,
Africa,2021-03-03,3924756,10908,9724,104662,278,313.429,2927.616,8.137,7.253,78.071,0.207,0.234,,,,,,,,no information,4424168,4038877,468861,171395,181517,0.33,0.3,0.03,135,,1340598113,,,,,,,,,,,,,
Africa,2021-03-04,3937138,12382,9739.857,104993,331,309.714,2936.852,9.236,7.265,78.318,0.247,0.231,,,,,,,,no information,4570159,4132507,529681,145991,162184,0.34,0.31,0.04,121,,1340598113,,,,,,,,,,,,,
Africa,2021-03-05,3945707,8569,9377.857,105220,227,296.857,2943.244,6.392,6.995,78.487,0.169,0.221,,,,,,,,no information,4808230,4283668,624742,238071,161529,0.36,0.32,0.05,120,,1340598113,,,,,,,,,,,,,
Africa,2021-03-06,3955660,9953,9681,105483,263,286,2950.668,7.424,7.221,78.684,0.196,0.213,,,,,,,,no information,5013197,4409635,705135,204967,163847,0.37,0.33,0.05,122,,1340598113,,,,,,,,,,,,,
Africa,2021-03-07,3964055,8395,9535.429,105713,230,286.714,2956.93,6.262,7.113,78.855,0.172,0.214,,,,,,,,no information,5053898,4450336,705135,40701,168558,0.38,0.33,0.05,126,,1340598113,,,,,,,,,,,,,
Africa,2021-03-08,3973332,9277,9598.857,106092,379,295.857,2963.85,6.92,7.16,79.138,0.283,0.221,,,,,,,,no information,5402174,4724256,779759,348276,187189,0.4,0.35,0.06,140,,1340598113,,,,,,,,,,,,,
Africa,2021-03-09,3981161,7829,9616.143,106381,289,285.286,2969.69,5.84,7.173,79.353,0.216,0.213,,,,,,,,no information,5542597,4798917,850734,140423,184261,0.41,0.36,0.06,137,,1340598113,,,,,,,,,,,,,
Africa,2021-03-10,3991582,10421,9546.571,106682,301,288.571,2977.464,7.773,7.121,79.578,0.225,0.215,,,,,,,,no information,5882799,5001631,1010055,340202,208376,0.44,0.37,0.08,155,,1340598113,,,,,,,,,,,,,
Africa,2021-03-11,4006913,15331,9967.857,107006,324,287.571,2988.899,11.436,7.435,79.82,0.242,0.215,,,,,,,,no information,6071207,5072092,1137129,188408,214435,0.45,0.38,0.08,160,,1340598113,,,,,,,,,,,,,
Africa,2021-03-12,4016737,9824,10147.143,107233,227,287.571,2996.228,7.328,7.569,79.989,0.169,0.215,,,,,,,,no information,6381226,5129231,1397210,310019,224714,0.48,0.38,0.1,168,,1340598113,,,,,,,,,,,,,
Africa,2021-03-13,4027046,10309,10198,107527,294,292,3003.917,7.69,7.607,80.208,0.219,0.218,,,,,,,,no information,6784874,5286100,1644318,403648,253097,0.51,0.39,0.12,189,,1340598113,,,,,,,,,,,,,
Africa,2021-03-14,4035708,8662,10236.143,107778,251,295,3010.379,6.461,7.636,80.395,0.187,0.22,,,,,,,,no information,6801397,5302623,1644318,16523,249643,0.51,0.4,0.12,186,,1340598113,,,,,,,,,,,,,
Africa,2021-03-15,4044120,8412,10112.571,108087,309,285,3016.654,6.275,7.543,80.626,0.23,0.213,,,,,,,,no information,7194432,5399518,1942667,393035,256037,0.54,0.4,0.14,191,,1340598113,,,,,,,,,,,,,
Africa,2021-03-16,4053103,8983,10277.429,108394,307,287.571,3023.354,6.701,7.666,80.855,0.229,0.215,,,,,,,,no information,7429911,5440673,2146524,235479,269616,0.55,0.41,0.16,201,,1340598113,,,,,,,,,,,,,
Africa,2021-03-17,4064224,11121,10377.429,108671,277,284.143,3031.65,8.296,7.741,81.062,0.207,0.212,,,,,,,,no information,7631610,5487287,2312736,201699,249830,0.57,0.41,0.17,186,,1340598113,,,,,,,,,,,,,
Africa,2021-03-18,4075556,11332,9806.143,108932,261,275.143,3040.103,8.453,7.315,81.256,0.195,0.205,,,,,,,,no information,7819050,5674476,2321849,187440,249692,0.58,0.42,0.17,186,,1340598113,,,,,,,,,,,,,
Africa,2021-03-19,4088217,12661,10211.429,109477,545,320.571,3049.547,9.444,7.617,81.663,0.407,0.239,,,,,,,,no information,8101883,5746305,2563824,282833,245808,0.6,0.43,0.19,183,,1340598113,,,,,,,,,,,,,
Africa,2021-03-20,4097421,9204,10053.571,109674,197,306.714,3056.413,6.866,7.499,81.81,0.147,0.229,,,,,,,,no information,8194242,5767632,2634856,92359,201338,0.61,0.43,0.2,150,,1340598113,,,,,,,,,,,,,
Africa,2021-03-21,4106515,9094,10115.286,109903,229,303.571,3063.196,6.784,7.545,81.981,0.171,0.226,,,,,,,,no information,8215790,5789180,2634856,21548,202056,0.61,0.43,0.2,151,,1340598113,,,,,,,,,,,,,
Africa,2021-03-22,4116102,9587,10283.143,110163,260,296.571,3070.347,7.151,7.671,82.175,0.194,0.221,,,,,,,,no information,8338031,5817779,2728498,122241,163371,0.62,0.43,0.2,122,,1340598113,,,,,,,,,,,,,
